,track_name,artist,album name,energy,liveness,tempo,speechiness,acousticness,danceability,instrumentalness,loudness,valence,mode,type,uri
0,Twenty Seven,Lagwagon,Double Plaidinum (Reissue),0.811,0.144,95.698,0.0359,0.000703,0.358,0.0,-6.877,0.594,1,audio_features,spotify:track:07vLuLVwrVeAUm3Rxj518H
1,Learn To Live,Alice Merton,Mint,0.698,0.0912,136.984,0.0378,0.0832,0.673,1.17e-05,-4.492,0.741,0,audio_features,spotify:track:0pDeiddexP7L7a3q8FwBqO
2,2 Kids,Alice Merton,Mint,0.66,0.143,84.028,0.0673,0.468,0.699,0.0,-4.474,0.507,1,audio_features,spotify:track:1JXbhqNcOLArMDgeI1MBe3
3,No Roots,Alice Merton,Mint,0.657,0.0713,115.958,0.105,0.264,0.863,0.00619,-7.295,0.829,1,audio_features,spotify:track:6gqW48WKOxrBEG2KfShI8W
4,Funny Business,Alice Merton,Mint,0.653,0.158,103.789,0.0447,0.036,0.625,5.62e-06,-4.413,0.477,1,audio_features,spotify:track:50B1PVWbakumorzP54YvK2
5,Homesick,Alice Merton,Mint,0.598,0.0925,94.018,0.0788,0.555,0.546,0.0,-5.645,0.601,1,audio_features,spotify:track:0ncE0dZPetRuiJbtvK9OgE
6,Lash Out,Alice Merton,Mint,0.77,0.133,128.005,0.0531,0.0264,0.744,1.27e-05,-4.071,0.901,0,audio_features,spotify:track:0h4IpWawLSTLTwd2zDeftz
7,Speak Your Mind,Alice Merton,Mint,0.514,0.108,138.093,0.0394,0.127,0.745,0.0,-6.883,0.684,0,audio_features,spotify:track:4VEfmkZPQWQ7fdcWvpRvgX
8,I Don’t Hold A Grudge,Alice Merton,Mint,0.528,0.34,119.917,0.0543,0.068,0.744,0.0,-5.174,0.757,0,audio_features,spotify:track:4S9u37KVYDopznUoioaMMk
9,Honeymoon Heartbreak,Alice Merton,Mint,0.361,0.0798,134.753,0.0293,0.583,0.609,0.0,-6.072,0.138,0,audio_features,spotify:track:1C3EOVC0KQ0tQKlof2cWz5
10,Trouble In Paradise,Alice Merton,Mint,0.724,0.113,119.989,0.0568,0.177,0.762,0.0,-4.371,0.652,1,audio_features,spotify:track:6WTBhKvFEIkOQcNb72KMod
11,Why So Serious,Alice Merton,Mint,0.46,0.11,108.01,0.0575,0.269,0.856,1.07e-06,-7.481,0.705,1,audio_features,spotify:track:6v48qTk0yzWneiNCS4T8co
12,Time Marches On,Pennywise,Land Of The Free?,0.932,0.327,101.85,0.075,0.000328,0.34,0.322,-3.758,0.67,1,audio_features,spotify:track:7I44d8wbsWdByMs5fxymfQ
13,Land of the Free?,Pennywise,Land Of The Free?,0.95,0.243,89.913,0.0723,9.79e-05,0.45,0.0175,-3.332,0.87,1,audio_features,spotify:track:2tfuiYUAllKUVusfEu9Lpi
14,The World,Pennywise,Land Of The Free?,0.961,0.302,147.323,0.114,0.000352,0.302,0.000156,-2.632,0.676,1,audio_features,spotify:track:2WD64H3EBdbIisfP34X0ea
15,Fuck Authority,Pennywise,Land Of The Free?,0.937,0.379,101.922,0.0504,0.000887,0.45,0.00457,-2.819,0.791,0,audio_features,spotify:track:3Id64dLhfH7z0mmcylxuNp
16,Something Wrong With Me,Pennywise,Land Of The Free?,0.973,0.172,170.809,0.0963,0.000193,0.244,0.00102,-3.15,0.447,1,audio_features,spotify:track:0WGKwo98neAoQ5RmQm49Ee
17,Enemy,Pennywise,Land Of The Free?,0.944,0.0996,108.622,0.0686,0.00119,0.433,0.00565,-3.598,0.761,1,audio_features,spotify:track:0EmZDU6MSncDEO9vl3itZb
18,My God,Pennywise,Land Of The Free?,0.962,0.134,161.244,0.0768,0.000452,0.248,0.343,-3.505,0.72,1,audio_features,spotify:track:4dJfBTMmCIfHmzqaj8Or7L
19,Twist of Fate,Pennywise,Land Of The Free?,0.934,0.292,117.943,0.0854,0.000999,0.312,0.0066,-3.916,0.716,0,audio_features,spotify:track:267EaiJFH76u30ROlmXDlv
20,Who's On Your Side,Pennywise,Land Of The Free?,0.965,0.131,152.911,0.113,6.12e-05,0.266,0.789,-3.024,0.399,0,audio_features,spotify:track:36vOqqMVekuyYmYaFV6YAE
21,It's Up to You,Pennywise,Land Of The Free?,0.926,0.136,200.576,0.0642,0.000761,0.197,0.0112,-4.108,0.604,1,audio_features,spotify:track:0iERVoJaWupEAMO2e2594W
22,Set Me Free,Pennywise,Land Of The Free?,0.887,0.321,96.078,0.0832,0.00413,0.358,0.000171,-3.311,0.723,1,audio_features,spotify:track:0d0HTavHGjbab0mScSJjB7
23,Divine Intervention,Pennywise,Land Of The Free?,0.925,0.201,160.538,0.0705,0.00095,0.391,0.000266,-3.196,0.649,0,audio_features,spotify:track:2Ca4D4EMh9sFHvNcsAP59k
24,WTO,Pennywise,Land Of The Free?,0.98,0.0545,171.272,0.0602,3.05e-05,0.236,0.00735,-3.679,0.868,0,audio_features,spotify:track:0DH3jgFWNEH6ghZY485moo
25,Anyone Listening,Pennywise,Land Of The Free?,0.955,0.113,152.165,0.065,0.000465,0.391,4.48e-05,-2.789,0.693,0,audio_features,spotify:track:59TQ0HJDZk9c2shbaj6JlX
26,Shaving Your Life,Mad Caddies,Rock the Plank,0.983,0.603,134.071,0.0846,0.00134,0.265,5.05e-05,-2.444,0.477,0,audio_features,spotify:track:06RPGKxH0yIxqMwPT3GdbS
27,Mary Melody,Mad Caddies,Rock the Plank,0.903,0.28,135.044,0.051,0.00596,0.467,1.62e-06,-4.237,0.571,1,audio_features,spotify:track:209Qd0Mmb1w6yKF07DKPBp
28,B-Side,Mad Caddies,Rock the Plank,0.865,0.327,156.107,0.0778,0.0026,0.367,0.0,-4.132,0.415,0,audio_features,spotify:track:4DXbDt8zSk9qX84IMnZg2L
29,Days Away,Mad Caddies,Rock the Plank,0.819,0.189,171.469,0.0547,0.00943,0.55,0.0,-4.946,0.707,0,audio_features,spotify:track:3FiQaLr2SzTwyvBBLIXoj4
30,Bridges,Mad Caddies,Rock the Plank,0.966,0.0995,120.614,0.0557,0.000139,0.323,4.14e-05,-3.696,0.484,0,audio_features,spotify:track:3j6ytX6gjkTCunxwy9iEG4
